Launch App..
Initiating main..
('Counting words in ', 's3://spark-emr-wc-bucket/spark-emr-wc-inp.txt')
confession,: 1
To: 7
these: 33
mount: 1
rewarded.â€: 1
unclean,: 1
less: 1
cure: 2
you?â€: 1
exist: 4
care.: 4
life,: 7
name,: 3
Additional: 1
then: 23
soil: 1
person.: 1
welcome.: 1
sleeping: 6
birth.: 1
birth,: 1
arrows.: 1
done.â€: 3
laws!â€: 1
wire,: 1
wire.: 2
different: 6
beginning.: 1
tempted:: 1
threatens: 1
granted: 3
cost,: 1
same: 7
masters.: 1
stepped: 7
status: 4
finish: 1
fortress.: 1
blacker: 2
I: 102
togas,: 1
LIABLE: 1
Candles.: 1
transgression:: 1
driven: 1
running: 1
edges: 1
blindly,: 1
arose: 1
been,: 1
forgot,: 1
transgression.: 2
passing: 1
IF: 1
love.: 1
ran.: 2
floor: 2
bow,: 1
It: 70
know: 46
Fairbanks,: 2
lit,: 1
without: 42
answeredâ€”and: 1
In: 6
knives: 1
cleaner,â€: 1
shut,: 1
bodies: 6
If: 21
summer: 1
followed.: 1
nights,: 1
â€œkeep: 1
am.: 1
being: 2
altars.: 1
rest: 1
sweeping: 2
â€œCookâ€: 1
PART: 24
kill: 2
rivers,: 1
touch: 2
Man,: 1
kneeling: 2
Man.: 1
eBook,: 1
blow: 4
death: 3
reeling.: 1
smiling.: 1
â€œnor: 2
rose: 8
possible,: 2
remember: 2
seems: 5
confirmed: 1
thousand: 1
wall: 5
wisdom.: 1
Gaea.: 1
Saints.: 1
strange,: 1
struck: 3
heavier: 1
Manuscripts: 2
bones,: 2
shapeless: 1
address:: 1
around: 14
read: 10
Many: 4
DIRECT,: 1
DISTRIBUTE: 1
discontinue: 1
dark: 7
sight.: 1
Let: 8
preference: 1
world: 8
accepted: 2
blankets: 1
found,: 1
boast: 1
60: 1
dull,: 1
martyrs: 1
fortune: 1
speak?â€: 1
hunger.: 2
bracelet: 1
greeting: 1
miracle: 6
lightning: 1
Produced: 2
pleats: 1
donations: 11
laughing: 2
fields.: 1
tower: 1
Before: 1
twelve: 1
punishment,: 1
Gutenberg-tm.: 1
â€œNo,: 1
Democracy: 1
listened.: 1
together,: 4
erase: 1
Dr.: 1
International: 17
Listen: 1
provided: 3
theirs.: 1
theirs,: 1
An: 2
obey.: 1
obey,: 1
Men: 3
legal: 2
Temple: 1
sins.: 1
critical: 1
stopped: 9
neck,: 1
knife: 1
think.: 3
â€œWho: 1
think,: 1
welcome: 1
passages,: 1
reasonable: 1
power: 23
away--you: 1
carried: 4
broken: 8
precious,: 1
burden,: 1
throw: 1
reports,: 1
words?â€: 1
on: 94
stone: 6
places?â€: 1
understanding.: 1
brothers?â€: 1
bent.: 1
provide,: 1
â€œMany: 1
meal: 1
stop,: 1
whence: 1
7-2521.â€: 1
stand: 6
scornful: 2
roam: 1
1.E.3.: 1
notifies: 1
out,: 1
â€œSince: 1
out.: 3
Yes,: 1
burning: 1
No: 5
spreading: 1
â€œHow: 6
blessed: 2
cursed: 2
PO: 1
harness: 1
rising: 3
determine: 1
names.: 2
rise,: 1
names,: 1
shrinking: 1
your: 30
morning.: 2
stare: 1
breath: 3
bodies.â€: 1
appeared,: 1
her: 1
shells: 1
gleam: 1
there: 59
brute: 1
start: 1
drank: 1
summit,: 1
died: 2
stars: 2
slowly: 1
disposes: 1
knowledge: 3
forbade: 1
you.: 4
departed,: 1
you,: 8
capable,: 1
pride,: 1
Saints: 3
gods.: 3
white.: 1
survived: 1
white,: 2
curse.: 4
trying: 1
with: 132
wild,: 1
weeds.: 2
burning.: 1
are.: 1
eBook: 5
fate.: 1
rags: 1
sadness: 1
MERCHANTABILITY: 1
copying,: 2
site: 4
faces,: 1
agree: 9
faces.: 1
gone: 2
Judges: 4
â€œWe,â€: 1
words:: 1
pity.: 2
frighten: 1
moved: 10
deep: 1
gift,: 2
How: 1
as: 154
words,: 3
warm.: 1
file: 2
studies.: 1
trickled: 1
watched: 3
deed: 2
moves: 1
chooses,: 1
again: 4
beyond: 9
License.: 2
rubbed: 1
fear.: 2
following.: 1
deserve: 1
As: 2
hearth: 1
summit: 1
string;: 1
6-7349.: 1
you: 105
as,: 1
(does: 1
1.E.7.: 1
poor: 1
Great: 8
move,: 1
move.: 5
cringe.: 1
walk,: 1
walk.: 1
4-8818,â€: 1
includes: 1
gifts: 1
START: 1
important: 1
peak: 1
included: 2
brass: 1
quest,: 1
network: 1
building: 1
One?â€: 1
calls: 1
royalties.: 1
Executive: 1
curve: 1
rose,: 3
moonlight: 1
Street: 19
profits: 1
doubted: 1
god: 4
once: 5
original: 1
silent.: 1
silent,: 2
forget: 7
depends: 1
â€œCarpenterâ€: 2
forbidden: 2
SIX: 2
concern: 2
none: 5
â€œWE: 1
INDIRECT,: 1
Brotherhood,: 1
Take: 1
zinc: 1
follow: 5
disk: 1
children: 6
causes: 3
meant,: 1
unenforceability: 1
Evil: 6
â€œWe: 20
to: 570
solicit: 2
smile: 4
footsteps.: 1
fear,: 2
cause,: 1
cause.: 1
returned: 1
DISCLAIMER: 1
song: 2
very: 1
horror: 1
tent: 2
useless,â€: 1
Still,: 2
sons: 2
fan: 1
***: 4
